# ,City ,Address ,State ,DateOpened
101,Stockton ,2727 W . March Ln. ,CA ,11/30/1994
102,Hollywood ,7009 Sunset Blvd. ,CA ,12/15/1994
103,Vacaville ,170 Nut Tree Pkwy. ,CA ,1/4/1995
104,Las Vegas ,1960 Rock Springs Dr. ,NV ,2/28/1995
105,La Mirada ,14341 Firestone Blvd. ,CA ,5/31/1995
106,Visalia ,1933 S. Mooney Blvd. ,CA ,6/21/1995
107,Santa Clarita ,28368 Sand Canyon Rd. ,CA ,10/19/1995
108,Goleta ,4865 Calle Real ,CA ,11/14/1995
109,Auburn ,130 Grass Valley Hwy. ,CA ,11/30/1995
110,Burbank ,761 N. First St. ,CA ,12/14/1995
111,Studio City ,3640 Cahuenga Blvd. ,CA ,12/27/1995
112,Downey ,8767 Firestone Blvd. ,CA ,3/5/1996
113,Rohnert Park ,5145 Redwood Dr. ,CA ,3/27/1996
114,Long Beach ,6391 E. Pacific Coast Hwy. ,CA ,4/25/1996
115,Milpitas ,50 Ranch Dr. ,CA ,9/5/1996
116,Elk Grove ,9188 E. Stockton Blvd. ,CA ,11/14/1996
117,Westchester ,9149 S. Sepulveda Blvd. ,CA ,1/22/1997
118,San Ramon ,2270 San Ramon Valley Blvd. ,CA ,2/27/1997
119,Westwood ,922 Gayley Ave. ,CA ,4/1/1997
120,Pinole ,1417 Fitzgerald Dr. ,CA ,4/24/1997
121,Alhambra ,1210 N. Atlantic Blvd. ,CA ,5/14/1997
122,Rancho Cordova ,2475 Sunrise Blvd. ,CA ,6/3/1997
123,San Diego ,3102 Sports Arena Blvd. ,CA ,6/27/1997
124,Pleasanton ,6015 Johnson Dr. ,CA ,8/6/1997
125,Fairfield ,1364 Holiday Ln. ,CA ,9/9/1997
126,Napa ,820 W. Imola Ave. ,CA ,10/16/1997
127,Davis ,1020 Olive Dr. ,CA ,1/23/1998
128,Mission Valley ,2005 Camino Del Este ,CA ,5/21/1998
129,Mountain View ,1159 N. Rengstorff Ave. ,CA ,6/11/1998
130,Sunnyvale ,604 E. El Camino Real ,CA ,7/2/1998
131,Sacramento ,3501 Truxel Rd. ,CA ,8/13/1998
132,Roseville ,1803 Taylor Rd. ,CA ,10/15/1998
133,Santa Ana ,3361 S. Bristol St. ,CA ,11/11/1998
134,Van Nuys ,7930 Van Nuys Blvd. ,CA ,12/10/1998
135,Long Beach ,7691 Carson Street ,CA ,4/21/1999
136,Santa Maria ,Maria 1330 S. Bradley Rd. ,CA ,5/27/1999
137,Redding ,1275 Dana Drive ,CA ,6/25/1999
138,Anaheim Hills ,5646 E. La Palma Ave ,CA ,8/12/1999
139,Placerville ,3055 Forni Road ,CA ,9/30/1999
140,Culver City ,13425 Washington Blvd. ,CA ,10/28/1999
141,Mill Valley ,798 Redwood Hwy. ,CA ,12/16/1999
142,San Jose ,5611 Santa Teresa Blvd. ,CA ,1/26/2000
143,Lake Havasu ,81-101 London Bridge Rd. ,AZ ,5/3/2000
144,Ontario ,4310 E. Ontario Mills Parkway ,CA ,7/18/2000
145,Bakersfield ,5100 Stockdale Hwy. ,CA ,10/2/2000
146,Scottsdale ,7467 E. Frank Lloyd Wright Bl. ,AZ ,11/2/2000
147,Chico ,2050 Business Ln. ,CA ,11/16/2000
148,Avondale ,1525 Dysart Road ,AZ ,12/7/2000
149,Livermore ,1881 N Livermore Ave ,CA ,2/15/2001
150,Henderson ,1051 W . Sunset Road ,NV ,3/29/2001
151,San Pedro ,1090 N. Western Ave. ,CA ,6/14/2001
152,Mountain View ,53 W. El Camino Real ,CA ,7/12/2001
153,Chandler ,7050 W. Ray Road ,AZ ,8/23/2001
154,San Francisco ,333 Jefferson St. ,CA ,9/20/2001
155,Mesa ,1650 S. Stapley ,AZ ,10/25/2001
156,Union City ,32060 Union Landing Blvd. ,CA ,11/1/2001
157,Glendale ,310 N. Harvey Drive ,CA ,11/15/2001
158,San Jose ,2950 E. Capitol Expressway ,CA ,12/6/2001
159,Daly City ,260 Washington Street ,CA ,1/17/2002
160,Phoenix ,21001 N. Tatum Blvd. ,AZ ,2/14/2002
161,Turlock ,3071 Countryside Dr. ,CA ,3/14/2002
162,Oceanside ,4605 Frazee Rd ,CA ,4/4/2002
163,Oxnard ,381 W . Esplanade ,CA ,5/2/2002
164,Chandler ,2790 W. Chandler ,AZ ,6/6/2002
165,Las Vegas ,9240 S. Eastern Ave. ,NV ,7/10/2002
166,Inglewood ,3411 W. Century Blvd. ,CA ,8/6/2002
167,Chino ,3927 Grand Avenue ,CA ,9/5/2002
168,Pittsburg ,4550 Delta Gateway Blvd. ,CA ,10/8/2002
169,Peoria ,8285 W. Bell Rd. ,AZ ,1/16/2003
170,Laguna Hills ,24001 Avenida De La Carlota ,CA ,1/30/2003
171,Santa Clarita ,26401 Bouquet Canyon Rd. ,CA ,2/20/2003
172,Glendora ,1261 S. Lone Hill ,CA ,3/27/2003
173,Fresno ,8010 N. Blackstone Ave. ,CA ,4/30/2003
174,Glendale ,119 Brand Blvd. ,CA ,6/12/2003
175,Corona ,2305 Compton Ave. ,CA ,6/19/2003
176,Santa Clara ,3001 Mission College Blvd. ,CA ,8/7/2003
177,Phoenix ,19407 N. 27th Avenue ,AZ ,9/11/2003
178,Porter Ranch ,19901 Rinaldi St. ,CA ,10/30/2003
179,Moorpark ,856 New Los Angeles Ave ,CA ,11/20/2003
180,Huntington Beach ,18062 Beach Blvd. ,CA ,1/27/2004
181,Laughlin ,2058 Casino Dr. ,NV ,3/4/2004
182,Orange ,2585 N. Tustin Ave. ,CA ,4/21/2004
183,Roseville ,10309 Fairway Dr. ,CA ,6/10/2004
184,Prescott ,3040 Hwy. 69 ,AZ ,6/29/2004
185,San Marcos ,583 Grand Ave. ,CA ,7/27/2004
186,Reno ,8215 S. Virginia ,NV ,9/23/2004
187,Carson Valley ,957 Topsy Lane ,NV ,10/14/2004
188,Sparks ,280 Pyramid Way ,NV ,11/18/2004
189,Brentwood ,5581 Lone Tree Way ,CA ,12/16/2004
190,Millbrae ,11 Rollins Rd. ,CA ,3/31/2005
191,Manteca ,1490 E. Yosemite Avenue ,CA ,4/12/2005
192,Paradise Valley ,12413 N. Tatum Blvd. ,AZ ,4/28/2005
193,Oakland ,8300 Oakport St. ,CA ,5/18/2005
194,Fremont ,43349 Pacific Commons Blvd. ,CA ,8/17/2005
195,Tempe ,920 E. Playa Del Norte ,AZ ,9/15/2005
196,Van Nuys ,7220 Balboa Blvd. ,CA ,10/5/2005
197,Lodi ,2625 W . Kettleman Ln. ,CA ,10/13/2005
198,Morgan Hill ,895 Cochrane Road ,CA ,11/30/2005
199,City of Industry ,21620 Valley Blvd. ,CA ,12/20/2005
200,Temecula ,30697 Temecula Pkwy. ,CA ,12/30/2005
201,Kingman ,1770 E. Beverly Ave. ,AZ ,6/15/2006
202,Petaluma ,1010 Lakeville St. ,CA ,6/29/2006
203,Yuma ,1940 E. 16th St. ,AZ ,11/16/2006
204,Las Vegas ,5690 Centennial Center Blvd. ,NV ,2/7/2007
205,Gilbert ,2449 S. Market St. ,AZ ,3/1/2007
206,Canoga Park ,6841 N. Topanga Canyon Blvd. ,CA ,4/10/2007
207,Tucson ,3711 E. Broadway Blvd. ,AZ ,4/24/2007
208,Northridge ,8830 Tampa Ave. ,CA ,8/9/2007
209,Lebec/Tejon Ranch ,5926 Dennis McCarthy Dr. ,CA ,8/30/2007
210,Marana ,8180 Cortaro Rd. ,AZ ,11/15/2007
211,El Centro ,2390 E. 4th St. ,CA ,12/13/2007
212,Murrieta ,39697 Avenida Acacias ,CA ,12/20/2007
213,Sacramento ,2900 Del Paso Rd. ,CA ,12/28/2007
214,Yuba City ,1375 Sunsweet Blvd. ,CA ,3/27/2008
215,Washington City ,832 W. Telegraph St. ,UT ,4/22/2008
216,Tustin ,2895 Park Ave. ,CA ,4/29/2008
217,Sacramento ,4600 Madison Ave. ,CA ,5/29/2008
218,Mesa ,1859 S. Signal Butte Rd. ,AZ ,6/12/2008
219,Chandler ,2910 E. Germann Rd. ,AZ ,7/15/2008
220,Clovis ,382 N. Clovis Ave. ,CA ,8/21/2008
221,Las Vegas ,3882 Blue Diamond Rd. ,NV ,8/28/2008
222,San Leandro ,15575 Hesperian Blvd. ,CA ,9/30/2008
223,Casa Grande ,873 N. Promenade Pkwy. ,AZ ,10/16/2008
224,Menifee ,30296 Haun Rd. ,CA ,10/28/2008
225,West Sacramento ,780 Ikea Court ,CA ,12/5/2008
226,Las Vegas ,9610 W. Tropicana Ave. ,NV ,12/18/2008
227,Chula Vista ,1725 Eastlake Pkwy. ,CA ,12/23/2008
228,Phoenix ,34850 N. Valley Pkwy. ,AZ ,1/20/2009
229,Folsom ,225 Placerville Rd. ,CA ,1/29/2009
230,Mesa ,1342 S. Alma School Rd. ,AZ ,4/30/2009
231,Woodland ,2011 Bronze Star Dr. ,CA ,5/7/2009
232,Phoenix ,9585 W. Camelback Rd. ,AZ ,6/11/2009
233,Victorville ,15290 Civic Drive Rd. ,CA ,9/24/2009
234,North Las Vega ,6880 N. 5th St. ,NV ,10/29/2009
235,Orem ,350 E. University Pkwy. ,UT ,11/19/2009
236,Draper ,12191 South Factory Outlet Dr. ,UT ,11/19/2009
237,West Jordan ,7785 Jordan Landing Blvd. ,UT ,12/1/2009
238,Tucson ,1979 E. Ajo Way ,AZ ,12/15/2009
239,American Fork ,601 West Main St. ,UT ,12/17/2009
240,San Jose ,550 Newhall Dr. ,CA ,1/14/2010
241,Oro Valley ,11545 N. Oracle Rd. ,AZ ,6/9/2010
242,Tucson ,7111 E. Broadway Blvd. ,AZ ,6/9/2010
243,North Las Vegas ,2765 E. Craig Rd. ,NV ,6/23/2010
244,Riverton ,12569 S. Crossing Dr. ,UT ,7/21/2010
245,West Valley City ,3715 S. Constitution Blvd. ,UT ,7/21/2010
246,Redwood City ,949 Veterans Blvd. ,CA ,8/26/2010
247,Escondido ,1260 W . Valley Parkway ,CA ,9/30/2010
248,Centerville ,475 N. 700 West ,UT ,10/14/2010
249,Santa Rosa ,2131 County Center Dr. ,CA ,10/28/2010
250,Arroyo Grande ,1170 W . Branch St. ,CA ,11/16/2010
251,Costa Mesa ,3211 Harbor Blvd. ,CA ,12/17/2010
252,Pheonix ,2770 W . Peoria Ave. ,AZ ,2/17/2011
253,Tucson ,4620 N Oracle Rd. ,AZ ,3/17/2011
254,Poway ,Poway 12890 Gregg Ct. ,CA ,4/21/2011
255,Allen ,190 E Stacy Rd. ,TX ,5/11/2011
256,Frisco ,2800 Preston Rd. ,TX ,5/11/2011
257,San Carlos ,445 Industrial Rd. ,CA ,6/16/2011
258,Dallas ,7940 N. Central Exwy. ,TX ,6/23/2011
259,Dallas ,7909 Lyndon B Johnson Fwy. ,TX ,8/11/2011
260,Fort Worth ,2900 W 7th St (at Currie St.) ,TX ,8/11/2011
261,Midvale ,7206 S. Union Park Ave ,UT ,8/25/2011
262,Arlington ,1075 W. I-20 ,TX ,9/22/2011
263,Irving ,6501 N. Macarthur Blvd. ,TX ,9/29/2011
264,Rockwall ,1106 E. I-30 ,TX ,10/20/2011
265,Signal Hill ,799 E. Spring St. ,CA ,10/27/2011
266,Dallas ,12909 Midway Rd. ,TX ,11/3/2011
267,Santa Nella ,28900 Henry Miller Rd. ,CA ,1/26/2012
268,Dallas ,15260 Dallas Pkwy. ,TX ,3/2/2012
269,Garland ,150 Town Center Blvd. ,TX ,3/1/2012
270,Torrance ,20150 Hawthorne Blvd. ,CA ,3/14/2012
271,Seal Beach ,12365 Seal Beach Blvd. ,CA ,3/15/2012
272,Highland ,28009 Greenspot Rd. ,CA ,3/29/2012
273,Hurst ,780 Airport Fwy. ,TX ,4/5/2012
274,Pleasant Hill ,570 Contra Costa Blvd. ,CA ,5/17/2012
275,Lancaster ,740 N. I-35 E. ,TX ,5/31/2012
276,Sacramento ,2001 Alta Arden Exwy. ,CA ,6/7/2012
277,Plano ,2740 N. Central Exwy. ,TX ,6/14/2012
278,Fort Worth ,5916 Quebec St. ,TX ,6/29/2012
279,Santee ,9414 Mission Gorge Rd. ,CA ,11/28/2012
280,Fort Worth ,4620 S. Hulen St. ,TX ,12/6/2012
281,Rancho Santa Margarita ,30121 Santa Margarita Pkwy. ,CA ,2/13/2013
282,Mansfield ,1221 N. Hwy. 287 ,TX ,6/27/2013
283,Grapevine ,1303 William D. Tate Ave. ,TX ,7/11/2013
284,Riverdale ,4030 Riverdale Rd ,UT ,8/15/2013
285,Modesto ,1616 Sisk Rd. ,CA ,8/22/2013
286,Rialto ,108 E. Easton St. ,CA ,8/29/2013
287,South Gate ,4601 Firestone Blvd. ,CA ,10/31/2013
288,Novato ,216 Vintage Way ,CA ,11/14/2013
289,Round Rock ,4251 I-35 North ,TX ,12/3/2013
290,Austin ,4508 I-35 North ,TX ,12/12/2013
291,Hanford ,280 S. 12Th Ave. ,CA ,12/19/2013
292,Cabazon ,49188 Seminole Dr. ,CA ,1/15/2014
293,Queen Creek ,20545 E Rittenhouse ,AZ ,3/26/2014
294,Cedar Park ,901 E Whitestone Blvd. ,TX ,4/10/2014
295,Encinitas ,130 Calle Magdalena ,CA ,5/22/2014
296,Killeen ,2006 E. Central Texas Exwy. ,TX ,10/8/2014
297,Westlake Village ,30780 Russell Ranch Rd. ,CA ,11/5/2014
298,San Antonio ,10918 Culebra Rd. ,TX ,11/20/2014
299,The Colony ,5298 State Highway 121 ,TX ,11/20/2014
300,Anahiem ,1168 State College Blvd. ,CA ,1/7/2015
301,Fort Worth ,2501 N. Tarrant Pkwy. ,TX ,2/6/2015
302,Windcrest ,8202 N Ih-35 ,TX ,4/23/2015
303,Alameda ,555 Willie Stargell Ave. ,CA ,5/14/2015
304,Medford ,1970 Carter Lake Hwy. ,OR ,9/9/2015
305,Cerritos ,10900 Alondra Blvd. ,CA ,10/23/2015
306,Austin ,3701 S. Lamar Blvd. ,TX ,11/12/2015
307,Waco ,801 South 4th St. ,TX ,11/20/2015
308,Rocklin ,5490 Crossings Dr. ,CA ,12/3/2015
309,El Segundo ,600 N. Sepulveda Blvd. ,CA ,12/30/2015
310,Gardena ,1701 Artesia Blvd ,CA ,1/23/2016
311,La Quinta ,78611 Hwy. 111 ,CA ,2/3/2016
312,Seaside ,1350 Del Monte Blvd ,CA ,2/22/2016
313,Oceanside ,936 N. Coast Highway ,CA ,4/7/2016
314,San Marcos ,1437 North Ih-35 ,TX ,5/16/2016
315,Austin ,12431 N. I-35 ,TX ,9/15/2016
316,Pflugerville ,1600 Town Center Dr. ,TX ,10/13/2016
317,Phoenix ,4840 N. 20th St. ,AZ ,11/3/2016
318,Yucaipa ,31465 Avenue E ,CA ,11/16/2016
319,Austin ,2700 Guadalupe St ,TX ,12/1/2016
320,Las Vegas ,"3545 S. Las Vegas Blvd, Ste L24 ",NV ,1/11/2017
321,Ukiah ,1351 N. State St ,CA ,1/25/2017
322,Denton ,2835 W. University Dr. ,TX ,2/9/2017
323,San Antonio ,22226 N. Us Hwy 281 ,TX ,2/23/2017
324,Lincoln ,850 Groveland Lane ,CA ,5/25/2017
325,New Braunfels ,106 Fm 306 ,TX ,6/15/2017
326,Daly City ,372 Gellert Blvd. ,CA ,7/27/2017
327,Sacramento ,8200 Delta Shores Circle ,CA ,8/24/2017
328,Grants Pass ,124 Ne Morgan Lane ,OR ,10/27/2017
329,Fort Worth ,3500 Highway 114 ,TX ,2/4/2018
330,La Harbra ,1761 W. Whittier Blvd. ,CA ,5/3/2018
331,Las Vegas ,10040 W. Sahara Ave. ,NV ,5/25/2018
332,Surprise ,14321 W. Bell Rd. ,AZ ,6/8/2018
333,Long Beach ,4041 Lakewood Blvd. ,CA ,6/28/2018
334,Las Vegas ,3804 East Flamingo Rd. ,NV ,10/18/2018
335,Rancho Mission Viejo ,30655 Gateway Pl. ,CA ,10/24/2018
336,Upland ,152 East 20th Street ,CA ,10/31/2018
337,Monterey Park ,5500 Market Place Dr. ,CA ,12/9/2018
338,Mesa ,3156 North Recker Road ,AZ ,12/17/2018
339,Vallejo ,720 Admiral Callaghan Ln. ,CA ,1/13/2019
340,Eastvale ,4950 Hamner Avenue ,CA ,2/8/2019
341,Dallas ,2525 W. Mockingbird Ln. ,TX ,2/22/2019
342,San Jose ,5590 Cottle Road ,CA ,5/2/2019
343,Azusa ,988 E. Alosta Ave. ,CA ,5/27/2019
344,Bellflower ,17325 Bellflower Blvd. ,CA ,8/23/2019
345,Stanton ,12975 Beach Blvd. ,CA ,9/26/2019
346,Lathrop ,6514 Golden Valley Parkway ,CA ,10/10/2019
347,Compton ,2200 S. Central Ave. ,CA ,10/24/2019
348,Redding ,4681 Churn Creek Rd. ,CA ,11/12/2019
349,Katy ,1010 Katy-fort Bend Rd. ,TX ,11/22/2019
350,Stafford ,12611 S. Kirkwood Rd. ,TX ,11/22/2019
351,Keizer ,6280 Keizer Station Blvd. ,OR ,12/12/2019
352,Las Vegas ,6530 S. Rainbow Blvd. ,NV ,3/18/2020
353,Riverside ,22410 Van Buren Blvd. ,CA ,4/6/2020
354,Eureka ,22616 Broadway Street ,CA ,7/15/2019
355,Beaumont ,21551 E. 2nd Street ,CA ,7/20/2020
356,Tucson ,1100 W. Irvington Rd. ,AZ ,8/20/2020
357,Houston ,7611 FM 1960 W ,TX ,9/4/2020
358,Spanish Fork ,795 East 800 North ,UT ,11/3/2020
359,Colorado Springs ,1840 Democracy Point ,CO ,11/20/2020
360,Aurora ,4150 E. Alameda Ave. ,CO ,11/20/2020
361,Tempe ,2405 W. Baseline Rd. ,AZ ,12/4/2020
362,Bakerfield ,7985 Rosedale Hwy. ,CA ,1/28/2021
